cow_number,shed_code,intake_date,gender,origin_region,status
1499801864,0111,2024-02-02,castrated,関,active
1672116808,0111,2024-02-16,castrated,北海道,active
1583519477,0110,2024-06-29,castrated,曽於,active
0873831725,独房10,2023-11-29,castrated,自家,active
0873831862,独房8,2024-08-13,female,自家,active
1375633374,独房10,2024-08-03,female,曽於,active
1689068879,独房11,2024-11-02,castrated,曽於,active
1659496893,0110,2024-05-21,castrated,北海道,active
1679300026,1306,2023-12-16,castrated,北海道,active
1678700148,1205,2024-05-18,castrated,北海道,active
1682000890,1106,2024-06-14,castrated,北海道,active
1463801135,1402,2023-12-16,castrated,北海道,active
1679101265,1205,2024-05-18,castrated,北海道,active
1386001476,1311,2024-10-04,castrated,関,active
1482002056,1301,2024-10-04,castrated,関,active
1482002063,1301,2024-10-04,castrated,関,active
1482002070,1301,2024-10-04,castrated,関,active
1700402088,1307,2024-11-30,castrated,曽於,active
1482002117,1301,2024-10-04,castrated,関,active
1482002124,1311,2024-10-04,castrated,関,active
1482002148,1311,2024-10-04,castrated,関,active
1671402421,1308,2024-10-11,castrated,北海道,active
1400702471,1308,2024-10-11,castrated,北海道,active
1394503177,1106,2024-06-14,castrated,北海道,active
1569503414,1102,2024-09-07,castrated,飛騨,active
1688303728,1208,2023-12-24,castrated,曽於,active
1688304268,1408,2023-12-02,castrated,曽於,active
1398704822,1204,2024-09-13,castrated,北海道,active
1671605280,1104,2023-12-24,castrated,曽於,active
0866805603,1407,2023-12-16,castrated,北海道,active
1700405720,1305,2024-11-30,castrated,曽於,active
1516205903,1102,2024-09-07,castrated,飛騨,active
1678606846,1205,2024-05-18,castrated,北海道,active
1475507414,1310,2024-12-13,castrated,北海道,active
1671507560,1202,2023-11-17,castrated,北海道,active
1671507584,1202,2023-11-17,castrated,北海道,active
1603807911,1403,2024-09-13,castrated,北海道,active
1603807942,1404,2025-02-15,castrated,北海道,active
0875408093,1107,2024-03-05,castrated,飛騨,active
0875408109,1107,2024-03-05,castrated,飛騨,active
1594408128,1409,2024-01-19,castrated,北海道,active
1634508382,1402,2023-12-16,castrated,北海道,active
1662508781,1205,2024-05-18,castrated,北海道,active
1411008883,1107,2024-03-05,castrated,飛騨,active
1669609054,1203,2024-11-15,castrated,北海道,active
1694709385,1303,2025-02-15,castrated,北海道,active
0873509501,1102,2024-09-07,castrated,飛騨,active
0873509914,1305,2024-11-02,castrated,飛騨,active
0873509983,1305,2024-11-02,castrated,飛騨,active
1687410960,1401,2023-10-29,castrated,曽於,active
1670411165,1103,2024-10-11,castrated,北海道,active
1670411202,1410,2024-11-15,castrated,北海道,active
1667811329,1103,2024-10-11,castrated,北海道,active
1680011386,1203,2024-11-15,castrated,北海道,active
1687411462,1401,2023-10-29,castrated,曽於,active
1652311643,1108,2024-01-19,castrated,北海道,active
1675611669,1206,2024-08-09,castrated,北海道,active
1649111911,1308,2024-10-11,castrated,北海道,active
1669712082,1310,2024-12-13,castrated,北海道,active
1688312393,1406,2024-04-29,castrated,曽於,active
1687412544,1408,2023-12-02,castrated,曽於,active
1649312639,1404,2025-02-15,castrated,北海道,active
1680812907,1304,2024-06-14,castrated,北海道,active
1687413701,1208,2023-12-24,castrated,曽於,active
1602914436,1410,2024-11-15,castrated,北海道,active
1574014479,1206,2024-08-09,castrated,北海道,active
1560514792,1107,2024-03-05,castrated,飛騨,active
1690515256,1102,2024-09-07,castrated,飛騨,active
1555015358,1207,2024-04-12,castrated,北海道,active
1583516131,1105,2024-02-29,castrated,曽於,active
1494417459,1201,2023-11-17,castrated,北海道,active
1691418655,1303,2025-02-15,castrated,北海道,active
1525418813,1207,2024-04-12,castrated,北海道,active
1640019384,1102,2024-09-07,castrated,飛騨,active
0875019732,1410,2024-11-15,castrated,北海道,active
1524719928,1305,2024-11-02,castrated,飛騨,active
1458720243,1202,2023-11-21,castrated,北海道,active
0875120421,1106,2024-06-14,castrated,北海道,active
1460320974,1202,2023-11-21,castrated,北海道,active
1467020990,1204,2024-09-13,castrated,北海道,active
1698521716,1310,2024-12-13,castrated,北海道,active
1553021993,1105,2024-02-29,castrated,曽於,active
0873922164,1201,2023-11-17,castrated,北海道,active
1525622586,1204,2024-09-13,castrated,北海道,active
1666024898,1409,2024-01-19,castrated,北海道,active
1429826189,1308,2024-10-11,castrated,北海道,active
1597126449,1104,2023-12-24,castrated,曽於,active
1689026985,1204,2024-09-13,castrated,北海道,active
1442927405,1206,2024-08-09,castrated,北海道,active
1644827701,1403,2024-09-13,castrated,北海道,active
1597127842,1104,2023-12-24,castrated,曽於,active
0875029292,1206,2024-08-09,castrated,北海道,active
1673829820,1205,2024-05-18,castrated,北海道,active
0864230063,1304,2024-06-14,castrated,北海道,active
1383730164,1409,2024-01-19,castrated,北海道,active
1421630562,1207,2024-04-12,castrated,北海道,active
0875430667,1303,2025-02-15,castrated,北海道,active
0869631520,1101,2023-02-23,castrated,自家,active
0869631537,1101,2023-03-03,castrated,自家,active
0873831732,1301,2024-01-23,castrated,自家,active
1553031886,1309,2024-06-29,castrated,曽於,active
1553033958,1406,2024-04-29,castrated,曽於,active
1421033998,1406,2024-04-29,castrated,曽於,active
1679635586,1411,2024-09-13,castrated,北海道,active
1385036059,1101,2023-11-07,castrated,飛騨,active
1416836702,1106,2024-06-14,castrated,北海道,active
1372337626,1203,2024-11-15,castrated,北海道,active
1691737664,1203,2024-11-15,castrated,北海道,active
1421038153,1405,2024-06-01,castrated,曽於,active
1553039356,1406,2024-04-29,castrated,曽於,active
1683543075,1411,2024-09-13,castrated,北海道,active
1658443652,1404,2025-02-15,castrated,北海道,active
1656344203,1407,2023-12-16,castrated,北海道,active
1664444223,1407,2023-12-16,castrated,北海道,active
1400044342,1105,2024-02-29,castrated,曽於,active
0867544686,1207,2024-04-12,castrated,北海道,active
1403045292,1302,2024-09-28,castrated,曽於,active
1403045308,1302,2024-09-28,castrated,曽於,active
1553049331,1302,2024-09-28,castrated,曽於,active
1687449632,1305,2024-11-02,castrated,飛騨,active
1442051179,1407,2023-12-16,castrated,北海道,active
1380051552,1104,2023-12-24,castrated,曽於,active
1659952887,1103,2024-11-15,castrated,北海道,active
1428453225,1411,2024-09-13,castrated,北海道,active
1658453354,1405,2024-06-01,castrated,曽於,active
1669053536,1206,2024-08-09,castrated,北海道,active
1632155588,1201,2023-11-17,castrated,北海道,active
1686856103,1308,2024-10-11,castrated,北海道,active
1658457741,1105,2024-02-29,castrated,曽於,active
1658458342,1309,2024-06-29,castrated,曽於,active
1673858547,1402,2023-12-16,castrated,北海道,active
1399059174,1401,2023-10-29,castrated,曽於,active
1393359973,1407,2023-12-16,castrated,北海道,active
1399060552,1408,2023-12-02,castrated,曽於,active
1553060718,1405,2024-06-01,castrated,曽於,active
1440461994,1403,2024-09-13,castrated,北海道,active
1690362096,1310,2024-12-13,castrated,北海道,active
1659262627,1311,2024-10-04,castrated,関,active
1656163019,1201,2023-11-17,castrated,北海道,active
1371463067,1108,2024-01-19,castrated,北海道,active
1606963157,1103,2024-10-11,castrated,北海道,active
1682064502,1403,2024-09-13,castrated,北海道,active
1668564576,1304,2024-06-14,castrated,北海道,active
1639365584,1203,2024-11-15,castrated,北海道,active
1357766137,1403,2024-09-13,castrated,北海道,active
1633166231,1106,2024-06-14,castrated,北海道,active
0874567968,1108,2024-01-19,castrated,北海道,active
1407668060,1306,2023-12-16,castrated,北海道,active
1553068318,1307,2024-11-30,castrated,曽於,active
1371468666,1408,2023-12-02,castrated,曽於,active
1392071333,1101,2023-11-07,castrated,飛騨,active
1460771554,1307,2024-11-30,castrated,曽於,active
1669471576,1107,2024-03-05,castrated,飛騨,active
1645371746,1304,2024-06-14,castrated,北海道,active
1428471939,1405,2024-06-01,castrated,曽於,active
0874272381,1201,2023-11-17,castrated,北海道,active
1390072813,1411,2024-09-13,castrated,北海道,active
1680273777,1307,2024-11-30,castrated,曽於,active
1664374704,1410,2024-11-15,castrated,北海道,active
1683174743,1311,2024-10-04,castrated,関,active
1687475839,1401,2023-10-29,castrated,曽於,active
1388276544,1309,2024-06-29,castrated,曽於,active
1388277428,1405,2024-06-01,castrated,曽於,active
1509977626,1108,2024-01-19,castrated,北海道,active
1441478298,1207,2024-04-12,castrated,北海道,active
0870578579,1103,2024-11-15,castrated,北海道,active
1388278739,1302,2024-09-28,castrated,曽於,active
1687479561,1105,2024-02-29,castrated,曽於,active
1388280824,1302,2024-09-28,castrated,曽於,active
1655980976,1303,2025-02-15,castrated,北海道,active
1687481649,1208,2023-12-24,castrated,曽於,active
1420983348,1408,2023-12-02,castrated,曽於,active
1380987004,1410,2024-11-15,castrated,北海道,active
1614288051,1409,2024-01-19,castrated,北海道,active
1431388118,1406,2024-04-29,castrated,曽於,active
0874588505,1411,2024-09-13,castrated,北海道,active
0863890534,1306,2023-12-16,castrated,北海道,active
1431390869,1309,2024-06-29,castrated,曽於,active
1655891401,1404,2025-02-15,castrated,北海道,active
0872592191,1404,2025-02-15,castrated,北海道,active
1388193285,1401,2023-10-29,castrated,曽於,active
1685995407,1104,2023-12-24,castrated,曽於,active
1659995723,1204,2024-09-13,castrated,北海道,active
0873996233,1306,2023-12-16,castrated,北海道,active
0874997109,1304,2024-06-14,castrated,北海道,active
0875598237,1303,2025-02-15,castrated,北海道,active
1396498396,1409,2024-01-19,castrated,北海道,active
1388198518,1208,2023-12-24,castrated,曽於,active
1399298696,1310,2024-12-13,castrated,北海道,active
0874098820,1306,2023-12-16,castrated,北海道,active
1490699392,1402,2023-12-16,castrated,北海道,active
1363699764,1402,2023-12-16,castrated,北海道,active
1659299883,1108,2024-01-19,castrated,北海道,active
1668700233,2110,2024-04-12,castrated,北海道,active
1671200416,2102,2024-04-12,castrated,北海道,active
1682400447,2104,2024-07-12,castrated,北海道,active
1648600461,2214,2024-08-09,castrated,北海道,active
1648600621,2115,2024-10-11,castrated,北海道,active
1689100968,2206,2024-08-09,castrated,北海道,active
1693501157,2205,2024-10-11,castrated,北海道,active
1390501863,2113,2024-05-11,castrated,飛騨,active
1686302457,2213,2024-04-12,castrated,北海道,active
1674402626,2203,2024-04-12,castrated,北海道,active
1617202771,2204,2025-03-14,castrated,北海道,active
1491103010,2113,2024-05-11,castrated,飛騨,active
1491103027,2113,2024-05-11,castrated,飛騨,active
1697104071,2204,2025-03-14,castrated,北海道,active
1458804684,2116,2025-03-14,castrated,北海道,active
1667104704,2214,2024-08-09,castrated,北海道,active
1683106102,2205,2024-10-11,castrated,北海道,active
1685007179,2216,2025-04-18,castrated,北海道,active
1661607256,2201,2024-03-15,castrated,北海道,active
1673609033,2114,2024-07-12,castrated,北海道,active
1696509433,2105,2025-03-14,castrated,北海道,active
1692509970,2206,2024-08-09,castrated,北海道,active
1660510908,2212,2024-01-19,castrated,北海道,active
1657111958,2206,2024-08-09,castrated,北海道,active
1669912116,2114,2024-07-12,castrated,北海道,active
1649312660,2210,2025-03-14,castrated,北海道,active
1638012816,2211,2024-08-09,castrated,北海道,active
1627313108,2105,2025-03-14,castrated,北海道,active
1609113795,2106,2024-07-12,castrated,北海道,active
1596913842,2205,2024-10-11,castrated,北海道,active
0864915496,2108,2025-03-14,castrated,北海道,active
1545215553,2110,2024-04-12,castrated,北海道,active
1555217141,2114,2024-07-12,castrated,北海道,active
1523517365,2101,2024-07-12,castrated,北海道,active
1523517372,2209,2024-08-09,castrated,北海道,active
1631917392,2202,2024-12-13,castrated,北海道,active
1686017689,2211,2024-08-09,castrated,北海道,active
1507517725,2105,2025-03-14,castrated,北海道,active
1534217995,2101,2024-07-12,castrated,北海道,active
1522018139,2107,2024-08-09,castrated,北海道,active
1518818163,2210,2025-03-14,castrated,北海道,active
1513318170,2115,2024-10-11,castrated,北海道,active
1679418837,2216,2025-04-18,castrated,北海道,active
1679418844,2105,2025-03-14,castrated,北海道,active
1673818992,2204,2025-03-14,castrated,北海道,active
1664619386,2101,2023-10-13,castrated,北海道,active
1467021188,2202,2024-12-13,castrated,北海道,active
1512925584,2114,2024-07-12,castrated,北海道,active
1669526870,2108,2025-03-14,castrated,北海道,active
1674226970,2111,2024-03-15,castrated,北海道,active
1421628583,2207,2024-03-15,castrated,北海道,active
0873428673,2203,2024-04-12,castrated,北海道,active
0873428680,2215,2024-04-12,castrated,北海道,active
1669029357,2205,2024-10-11,castrated,北海道,active
1375631547,2112,2024-06-29,castrated,曽於,active
1421633112,2106,2024-07-12,castrated,北海道,active
1396934016,2213,2024-04-12,castrated,北海道,active
1693535176,2115,2024-10-11,castrated,北海道,active
1646935558,2207,2024-03-15,castrated,北海道,active
1553035969,2112,2024-06-29,castrated,曽於,active
1680036686,2108,2025-03-14,castrated,北海道,active
0865739916,2104,2024-07-12,castrated,北海道,active
1421640134,2109,2025-03-14,castrated,北海道,active
1684040467,2106,2024-07-12,castrated,北海道,active
1670041898,2215,2024-04-12,castrated,北海道,active
1615242328,2107,2024-08-09,castrated,北海道,active
1696242583,2107,2024-08-09,castrated,北海道,active
1679342873,2215,2024-04-12,castrated,北海道,active
1693543164,2202,2024-12-13,castrated,北海道,active
1655343757,2212,2024-01-19,castrated,北海道,active
0867544969,2209,2024-08-09,castrated,北海道,active
1675146581,2104,2024-07-12,castrated,北海道,active
1432847584,2211,2024-08-09,castrated,北海道,active
1655749924,2111,2024-03-15,castrated,北海道,active
1540650724,2215,2024-04-12,castrated,北海道,active
1540651349,2213,2024-04-12,castrated,北海道,active
1678754400,2102,2024-04-12,castrated,北海道,active
1673855386,2110,2024-04-12,castrated,北海道,active
1659455760,2207,2024-03-15,castrated,北海道,active
1659455791,2201,2024-03-15,castrated,北海道,active
1659455807,2102,2024-04-12,castrated,北海道,active
1686856226,2216,2025-04-18,castrated,北海道,active
1389156456,2212,2024-01-19,castrated,北海道,active
1394258053,2104,2024-07-12,castrated,北海道,active
1398058284,2213,2024-04-12,castrated,北海道,active
1427759175,2111,2024-03-15,castrated,北海道,active
1686762046,2116,2025-03-14,castrated,北海道,active
1509663932,2206,2024-08-09,castrated,北海道,active
1645864750,2116,2025-03-14,castrated,北海道,active
1621565152,2216,2025-04-18,castrated,北海道,active
1553065775,2112,2024-06-29,castrated,曽於,active
1690766597,2109,2025-02-15,castrated,北海道,active
1425767394,2116,2025-03-14,castrated,北海道,active
1647268662,2111,2024-03-15,castrated,北海道,active
1647268686,2201,2024-03-15,castrated,北海道,active
1690769338,2115,2024-10-11,castrated,北海道,active
1367771107,2102,2024-04-12,castrated,北海道,active
1669471644,2113,2024-05-11,castrated,飛騨,active
0875272113,2107,2024-08-09,castrated,北海道,active
1630472397,2203,2024-04-12,castrated,北海道,active
1681675273,2101,2024-07-12,castrated,北海道,active
1690476113,2214,2024-08-09,castrated,北海道,active
1661576293,2209,2024-08-09,castrated,北海道,active
0876881840,2109,2025-02-15,castrated,北海道,active
1668782413,2201,2024-03-15,castrated,北海道,active
1521083091,2109,2025-02-15,castrated,北海道,active
1673486757,2203,2024-04-12,castrated,北海道,active
1681687436,2108,2025-03-14,castrated,北海道,active
1673489307,2106,2024-07-12,castrated,北海道,active
0873389592,2212,2024-01-19,castrated,北海道,active
0874691298,2211,2024-08-09,castrated,北海道,active
0872592573,2210,2025-03-14,castrated,北海道,active
1431392795,2112,2024-06-29,castrated,曽於,active
1669493189,2204,2025-03-14,castrated,北海道,active
1669493233,2210,2025-03-14,castrated,北海道,active
1407694434,2202,2024-12-13,castrated,北海道,active
1674396741,2110,2024-04-12,castrated,北海道,active
1396498532,2101,2024-07-12,castrated,北海道,active
0874099537,2209,2024-08-09,castrated,北海道,active
1682400553,3301,2024-12-13,castrated,北海道,active
1608800726,3407,2024-12-13,castrated,北海道,active
1499801796,3109,2023-12-02,female,関,active
1499801802,3109,2023-12-02,female,関,active
1499801833,3104,2024-02-02,female,関,active
1499801871,3104,2024-02-02,female,関,active
1680702000,3107,2024-06-07,castrated,関,active
1394402074,3110,2023-11-17,castrated,北海道,active
1674402145,3406,2024-02-16,castrated,北海道,active
1661802156,3201,2024-02-16,castrated,北海道,active
1482002186,3204,2024-12-07,female,関,active
1482002209,3204,2024-12-07,female,関,active
1677402210,3204,2024-12-07,female,関,active
1394402296,3309,2024-02-16,castrated,北海道,active
1501702592,3201,2024-02-16,castrated,北海道,active
1700403498,3401,2024-11-02,castrated,曽於,active
1374404265,3409,2023-11-17,castrated,北海道,active
1362204686,3304,2024-01-06,castrated,飛騨,active
1671604863,3406,2024-01-19,castrated,北海道,active
1664005974,3101,2024-03-15,castrated,北海道,active
1617906273,3309,2024-02-16,castrated,北海道,active
1652706425,3301,2024-12-13,castrated,北海道,active
1669206932,3404,2025-02-19,female,北海道,active
1684707339,3101,2024-03-15,castrated,北海道,active
1669007720,3309,2024-02-16,castrated,北海道,active
1673008621,3303,2025-02-19,female,北海道,active
0875408918,3107,2024-06-07,castrated,関,active
1664809213,3209,2024-03-15,castrated,北海道,active
1598009628,3106,2024-02-16,castrated,北海道,active
1688309652,3403,2023-10-29,female,曽於,active
1658310770,3307,2024-01-19,castrated,北海道,active
1638012717,3108,2024-06-14,castrated,北海道,active
1694112949,3105,2025-02-07,castrated,関,active
1688313086,3408,2024-08-03,female,曽於,active
1568813927,3108,2024-06-14,castrated,北海道,active
1687414227,3306,2024-02-29,castrated,曽於,active
0875915003,3105,2025-02-07,castrated,関,active
1558216257,3404,2025-02-19,female,北海道,active
1656316408,3403,2023-10-29,female,曽於,active
1524616418,3203,2025-01-17,castrated,北海道,active
1616816511,3409,2023-11-17,castrated,北海道,active
1570016668,3303,2025-02-19,female,北海道,active
1494417367,3409,2023-11-17,castrated,北海道,active
1676417604,3304,2024-01-06,castrated,飛騨,active
1526517607,3301,2024-12-13,castrated,北海道,active
1676417734,3304,2024-01-06,castrated,飛騨,active
1534217902,3210,2024-05-18,castrated,北海道,active
1474218700,3110,2023-11-17,castrated,北海道,active
1524718822,3107,2024-06-07,castrated,関,active
1524718877,3107,2024-06-07,castrated,関,active
0873918884,3307,2024-01-19,castrated,北海道,active
1578619410,3204,2024-12-07,female,関,active
0875520085,3303,2025-02-19,female,北海道,active
1692920720,3404,2025-02-19,female,北海道,active
1704020738,3105,2025-02-07,castrated,関,active
1467021195,3407,2024-12-13,castrated,北海道,active
1649421652,3407,2025-01-17,castrated,北海道,active
1692621894,3301,2024-12-13,castrated,北海道,active
1553022198,3208,2024-03-30,castrated,曽於,active
1455422355,3404,2025-02-19,female,北海道,active
