cow_number,shed_code,intake_date,gender,origin_region,status
1524719386,5206,2024-09-07,female,飛騨,active
1524719836,5209,2024-11-02,castrated,飛騨,active
0875019909,5102,2024-12-13,castrated,北海道,active
1458720724,5208,2024-06-14,castrated,北海道,active
0874720936,5215,2024-01-06,castrated,飛騨,active
1553021078,5117,2024-03-30,castrated,曽於,active
0874721780,5206,2024-09-07,female,飛騨,active
1692621856,5102,2024-12-13,castrated,北海道,active
1455421945,5213,2024-11-15,castrated,北海道,active
1525622555,5208,2024-07-12,castrated,北海道,active
1527822991,5117,2024-03-30,castrated,曽於,active
0871523011,5214,2024-08-02,castrated,関,active
1446323654,5109,2024-06-14,castrated,北海道,active
0874423806,5115,2024-05-21,castrated,北海道,active
1588027885,5104,2024-05-11,female,飛騨,active
1588028080,5110,2024-05-18,castrated,北海道,active
1404428629,5103,2024-11-15,castrated,北海道,active
1421030287,5113,2024-02-03,castrated,曽於,active
0875430681,5210,2025-02-19,female,北海道,active
1553031114,5112,2024-04-29,female,曽於,active
0863431577,5118,2023-05-08,female,自家,active
0863431584,5118,2023-05-21,female,自家,active
0863431591,5115,2023-06-17,castrated,自家,active
0863431607,5115,2023-06-24,castrated,自家,active
0863431614,5203,2023-06-30,female,自家,active
0863431621,5203,2023-07-06,female,自家,active
0863431638,5104,2023-08-25,female,自家,active
0863431645,5107,2023-09-02,castrated,自家,active
0863431669,5107,2023-09-13,castrated,自家,active
0873831701,5214,2023-11-24,castrated,自家,active
0873831718,5214,2023-11-25,castrated,自家,active
1400032264,5117,2024-03-30,castrated,曽於,active
1414734178,5106,2024-05-18,castrated,北海道,active
1658434704,5206,2024-09-07,female,飛騨,active
1615938429,5204,2024-05-21,castrated,北海道,active
1440938656,5202,2024-11-15,castrated,北海道,active
0865739787,5109,2024-06-14,castrated,北海道,active
1404641042,5202,2024-11-15,castrated,北海道,active
1399141138,5201,2023-11-17,castrated,北海道,active
1669841706,5213,2024-12-13,castrated,北海道,active
1596342253,5210,2025-02-19,female,北海道,active
1391742784,5116,2024-04-05,castrated,関,active
1428442915,5202,2025-04-18,castrated,北海道,active
1553043773,5217,2024-08-31,female,曽於,active
1403043854,5216,2024-08-03,castrated,曽於,active
1553044657,5217,2024-08-31,female,曽於,active
0859645551,5106,2024-05-18,castrated,北海道,active
1403046640,5217,2024-08-31,female,曽於,active
1673846995,5203,2024-05-11,female,飛騨,active
1400047114,5211,2023-10-29,castrated,曽於,active
1676447168,5101,2024-08-02,female,関,active
1400048104,5117,2024-03-30,castrated,曽於,active
1387948688,5214,2024-08-02,castrated,関,active
1403049764,5212,2024-09-28,female,曽於,active
1688350029,5101,2024-08-02,female,関,active
1553050627,5212,2024-09-28,female,曽於,active
1658151212,5216,2024-08-02,castrated,関,active
1698551683,5202,2025-04-18,castrated,北海道,active
1658451855,5112,2024-04-29,female,曽於,active
1447652524,5202,2025-04-18,castrated,北海道,active
1473852899,5101,2024-08-02,female,関,active
1683653835,5209,2024-11-02,castrated,飛騨,active
1658454733,5112,2024-04-29,female,曽於,active
1659455890,5109,2024-06-14,castrated,北海道,active
1655559837,5111,2024-03-05,female,飛騨,active
1659162460,5118,2024-02-02,female,関,active
1587962729,5201,2023-11-17,castrated,北海道,active
1689065847,5217,2024-08-31,female,曽於,active
1689066615,5212,2024-09-28,female,曽於,active
1689067070,5212,2024-09-28,female,曽於,active
1553068837,5108,2024-08-03,female,曽於,active
1647268884,5204,2024-06-14,castrated,北海道,active
1553069117,5108,2024-08-03,female,曽於,active
1428469295,5113,2024-02-03,castrated,曽於,active
1553069926,5108,2024-08-03,female,曽於,active
0874272374,5201,2023-11-17,castrated,北海道,active
1668572915,5104,2024-05-11,female,飛騨,active
1630472984,5114,2023-10-06,castrated,関,active
1428474237,5112,2024-04-29,female,曽於,active
1681474500,5213,2024-12-13,castrated,北海道,active
1655975491,5110,2024-05-18,castrated,北海道,active
1680175538,5110,2024-05-18,castrated,北海道,active
1687475693,5211,2023-10-29,castrated,曽於,active
1365175808,5110,2024-05-18,castrated,北海道,active
1365175976,5204,2024-06-14,castrated,北海道,active
1687476423,5211,2023-10-29,castrated,曽於,active
1688478600,5202,2024-11-15,castrated,北海道,active
1659179260,5215,2024-01-06,castrated,飛騨,active
1374079449,5206,2024-09-07,female,飛騨,active
1374079487,5209,2024-11-02,castrated,飛騨,active
1388280251,5108,2024-08-03,female,曽於,active
1468681213,5111,2024-03-05,female,飛騨,active
1374781427,5218,2024-07-06,castrated,飛騨,active
1656183642,5103,2024-11-15,castrated,北海道,active
0871084192,5106,2024-05-18,castrated,北海道,active
1388285362,5216,2024-08-03,castrated,曽於,active
1633185577,5101,2024-08-02,female,関,active
1675787401,5116,2024-04-05,castrated,関,active
1639487552,5105,2024-05-11,castrated,飛騨,active
1667988748,5204,2024-05-21,castrated,北海道,active
1656189316,5111,2024-03-05,female,飛騨,active
1656189323,5111,2024-04-05,female,関,active
1407689751,5208,2024-07-12,castrated,北海道,active
1388192394,5211,2023-10-29,castrated,曽於,active
1388192523,5113,2024-02-03,castrated,曽於,active
1388192530,5113,2024-02-03,castrated,曽於,active
1408892747,5107,2024-05-11,castrated,飛騨,active
1388193322,5211,2023-10-29,castrated,曽於,active
1538394241,5102,2024-12-13,castrated,北海道,active
1628694671,5213,2024-11-15,castrated,北海道,active
1685995834,5117,2024-03-30,castrated,曽於,active
1431396717,5216,2024-08-03,castrated,曽於,active
1608800689,6203,2024-10-11,castrated,北海道,active
1449000835,6215,2024-02-16,castrated,北海道,active
1676101022,6118,2024-12-07,castrated,関,active
1676101060,6115,2024-12-07,female,関,active
1674301097,6212,2024-06-07,female,関,active
1413801451,6105,2023-11-07,castrated,飛騨,active
1499801765,6104,2023-10-06,female,関,active
1499801772,6104,2023-10-06,female,関,active
1499801819,6106,2023-12-02,castrated,関,active
1499801826,6106,2023-12-02,castrated,関,active
1499801840,6106,2023-12-02,castrated,関,active
1597302010,6113,2024-09-07,female,飛騨,active
1683502041,6113,2024-10-04,female,関,active
1482002100,6113,2024-10-04,female,関,active
1482002155,6115,2024-12-07,female,関,active
1482002179,6115,2024-12-07,female,関,active
1482002193,6118,2024-12-07,castrated,関,active
1520602279,6114,2025-02-15,castrated,北海道,active
1677402357,6209,2025-02-07,castrated,関,active
1668902637,6218,2023-10-06,female,関,active
1686302846,6211,2025-04-18,castrated,北海道,active
1569503391,6205,2024-09-07,castrated,飛騨,active
1614903411,6108,2025-04-20,female,北海道,active
1580803463,6209,2025-02-07,castrated,関,active
1688303469,6216,2023-12-24,female,曽於,active
1569503643,6118,2024-12-07,castrated,関,active
1671604818,6210,2023-12-16,castrated,北海道,active
1688305722,6208,2023-09-29,female,曽於,active
1516205781,6212,2024-05-11,female,飛騨,active
0874607374,6104,2023-11-07,female,飛騨,active
1680708910,6110,2024-01-06,castrated,飛騨,active
1655009035,6210,2023-12-16,castrated,北海道,active
0875409373,6113,2024-09-07,female,飛騨,active
0871409445,6215,2024-02-16,castrated,北海道,active
0873509631,6205,2024-09-07,castrated,飛騨,active
1692510037,6203,2024-10-11,castrated,北海道,active
1694410120,6204,2024-10-11,castrated,北海道,active
0875910152,6118,2024-12-07,castrated,関,active
0875910299,6112,2025-01-11,castrated,飛騨,active
0875910435,6107,2025-01-11,castrated,飛騨,active
0875910442,6112,2025-01-11,castrated,飛騨,active
1631711228,6213,2023-11-17,castrated,北海道,active
1580713540,6109,2025-02-15,castrated,北海道,active
1690515157,6217,2024-07-06,castrated,飛騨,active
1591315221,6107,2025-01-11,castrated,飛騨,active
1518916180,6214,2024-02-16,castrated,北海道,active
1616816528,6213,2023-11-17,castrated,北海道,active
1553016883,6216,2023-12-24,female,曽於,active
1676417024,6218,2023-10-06,female,関,active
1676417185,6218,2023-10-06,female,関,active
1522317195,6201,2024-01-19,castrated,北海道,active
1631917422,6114,2025-02-15,castrated,北海道,active
1693718531,6202,2024-10-04,castrated,関,active
1691418679,6116,2025-03-19,female,北海道,active
1673818978,6114,2025-01-17,castrated,北海道,active
1553019303,6216,2023-12-24,female,曽於,active
1479719394,6109,2025-02-15,castrated,北海道,active
1672119410,6117,2025-01-11,castrated,飛騨,active
1524719881,6103,2024-11-02,female,飛騨,active
1524720306,6112,2025-01-11,castrated,飛騨,active
1704020400,6107,2025-01-11,castrated,飛騨,active
1704020646,6112,2025-01-11,castrated,飛騨,active
0874720677,6218,2023-10-06,female,関,active
0874720752,6105,2023-11-07,castrated,飛騨,active
0874721353,6212,2024-07-06,female,飛騨,active
0868123132,6209,2025-02-07,castrated,関,active
1691325274,6116,2025-03-19,female,北海道,active
1696426839,6109,2025-02-15,castrated,北海道,active
1421927228,6210,2023-12-16,castrated,北海道,active
1667727804,6104,2023-11-07,female,飛騨,active
1667727859,6110,2024-01-06,castrated,飛騨,active
1588027977,6217,2024-07-06,castrated,飛騨,active
1421628644,6214,2024-03-15,castrated,北海道,active
0869631513,6218,2023-01-21,female,自家,active
0869631544,6104,2023-03-25,female,自家,active
0869631551,6110,2023-04-20,castrated,自家,active
0863431560,6110,2023-04-22,castrated,自家,active
0863431652,6206,2023-09-04,female,自家,active
0873831688,6206,2023-11-06,female,自家,active
0873831695,6206,2023-11-07,female,自家,active
0873831749,6103,2024-02-09,female,自家,active
0873831756,6103,2024-02-18,female,自家,active
0873831763,6202,2024-02-29,castrated,自家,active
0873831770,6115,2024-02-29,female,自家,active
0873831787,6202,2024-03-10,castrated,自家,active
0873831794,6115,2024-03-17,female,自家,active
0873831800,6111,2024-04-16,female,自家,active
0873831817,6117,2024-05-01,castrated,自家,active
0873831824,6117,2024-05-01,castrated,自家,active
1413433621,6213,2023-11-17,castrated,北海道,active
1648733985,6110,2024-01-06,castrated,飛騨,active
1661636287,6202,2024-11-02,castrated,飛騨,active
1661636324,6111,2025-01-11,female,飛騨,active
1667737858,6204,2024-10-11,castrated,北海道,active
1400038020,6208,2023-09-29,female,曽於,active
1686038684,6211,2025-04-18,castrated,北海道,active
1639438820,6105,2023-11-07,castrated,飛騨,active
1658839790,6203,2024-10-11,castrated,北海道,active
0864341080,6116,2025-03-19,female,北海道,active
1675041176,6215,2024-02-16,castrated,北海道,active
1673343869,6214,2024-03-15,castrated,北海道,active
0865744248,6201,2024-01-19,castrated,北海道,active
1690944520,6114,2025-01-17,castrated,北海道,active
1694844710,6108,2025-04-20,female,北海道,active
1400046698,6216,2023-12-24,female,曽於,active
1679347885,6217,2024-07-06,castrated,飛騨,active
1669848033,6205,2024-09-07,castrated,飛騨,active
1656348195,6106,2023-12-02,castrated,関,active
1669848330,6112,2025-01-11,castrated,飛騨,active
1664549096,6206,2024-07-06,female,飛騨,active
1687449540,6205,2024-09-07,castrated,飛騨,active
1678749741,6105,2023-10-06,castrated,関,active
1360849841,6202,2024-11-02,castrated,飛騨,active
1658851549,6204,2024-10-11,castrated,北海道,active
1428352764,6211,2025-04-18,castrated,北海道,active
1421753162,6209,2025-02-07,castrated,関,active
1388453341,6201,2023-12-16,castrated,北海道,active
1647358196,6201,2024-01-19,castrated,北海道,active
1394358494,6206,2024-07-06,female,飛騨,active
1633166712,6203,2024-10-11,castrated,北海道,active
0876266791,6211,2025-04-18,castrated,北海道,active
1425767301,6116,2025-03-19,female,北海道,active
1406767702,6107,2025-01-11,castrated,飛騨,active
1638767945,6213,2023-11-21,castrated,北海道,active
1662568310,6116,2025-03-19,female,北海道,active
1447768317,6108,2025-04-20,female,北海道,active
1689068886,6103,2024-11-02,female,曽於,active
1383369838,6214,2024-03-15,castrated,北海道,active
1519169882,6111,2025-01-11,female,飛騨,active
1396471511,6209,2025-02-07,castrated,関,active
1630472304,6210,2023-12-16,castrated,北海道,active
1630472373,6214,2024-03-15,castrated,北海道,active
1678773470,6212,2024-06-07,female,関,active
1679475205,6204,2024-10-11,castrated,北海道,active
1647775931,6211,2025-04-18,castrated,北海道,active
1664377323,6117,2024-12-07,castrated,関,active
1633178029,6213,2023-11-21,castrated,北海道,active
1688578195,6108,2025-04-20,female,北海道,active
1374079463,6103,2024-11-02,female,飛騨,active
1668479795,6215,2024-02-16,castrated,北海道,active
1393979867,6205,2024-09-07,castrated,飛騨,active
1374781762,6111,2025-01-11,female,飛騨,active
1636783619,6109,2025-02-15,castrated,北海道,active
0872185997,6117,2025-01-11,castrated,飛騨,active
0872186017,6107,2025-01-11,castrated,飛騨,active
1638686185,6204,2024-10-11,castrated,北海道,active
1400286957,6203,2024-10-11,castrated,北海道,active
1521087310,6106,2023-12-02,castrated,関,active
1659487365,6105,2023-10-06,castrated,関,active
1670087414,6201,2024-01-19,castrated,北海道,active
1681687443,6109,2025-02-15,castrated,北海道,active
1661587558,6212,2024-07-06,female,飛騨,active
0875888116,6108,2025-04-20,female,北海道,active
1670189729,6113,2024-10-04,female,関,active
1388193537,6216,2023-12-24,female,曽於,active
1488094161,6217,2024-07-06,castrated,飛騨,active
1683694425,6118,2024-12-07,castrated,関,active
1670194952,6111,2025-01-11,female,飛騨,active
1634197982,6114,2025-01-17,castrated,北海道,active
1675798155,6217,2024-07-06,castrated,飛騨,active
0874098745,6210,2023-12-16,castrated,北海道,active
1465500548,9107,2025-01-17,castrated,北海道,active
1419700673,9203,2025-03-19,female,北海道,active
1669200763,9106,2024-07-12,castrated,北海道,active
1687301855,9206,2025-01-17,castrated,北海道,active
1520602132,9107,2025-01-17,castrated,北海道,active
1688303704,9104,2023-12-02,female,曽於,active
1683504625,9107,2025-01-17,castrated,北海道,active
1518806030,9102,2024-09-13,castrated,北海道,active
0874208540,9101,2024-05-18,castrated,北海道,active
1678809469,9101,2024-05-18,castrated,北海道,active
1683909871,9101,2024-05-18,castrated,北海道,active
1682310685,9201,2025-03-19,female,北海道,active
1680911457,9205,2024-09-13,castrated,北海道,active
1680911495,9103,2025-04-18,castrated,北海道,active
1672412122,9206,2025-01-17,castrated,北海道,active
1632613149,9206,2025-01-17,castrated,北海道,active
1625413770,9205,2024-09-13,castrated,北海道,active
1703516645,9207,2025-02-15,castrated,北海道,active
1534218107,9102,2024-09-13,castrated,北海道,active
1642418871,9203,2025-03-19,female,北海道,active
0875019329,9205,2024-09-13,castrated,北海道,active
1527819373,9104,2023-12-02,female,曽於,active
1479221781,9102,2024-09-13,castrated,北海道,active
1597124117,9104,2023-12-02,female,曽於,active
1674324829,9206,2025-01-17,castrated,北海道,active
1424226328,9203,2025-03-19,female,北海道,active
1375628035,9105,2024-09-28,castrated,曽於,active
0875928454,9107,2025-01-17,castrated,北海道,active
0875928461,9207,2025-02-15,castrated,北海道,active
1375628509,9105,2024-09-28,castrated,曽於,active
1597128696,9202,2024-02-03,female,曽於,active
1597128955,9202,2024-02-03,female,曽於,active
1383730263,9101,2024-05-18,castrated,北海道,active
1375631707,9105,2024-09-28,castrated,曽於,active
1400032295,9204,2024-04-29,female,曽於,active
1375632858,9105,2024-09-28,castrated,曽於,active
0868134602,9106,2024-07-12,castrated,北海道,active
1668535811,9106,2024-07-12,castrated,北海道,active
1602437966,9106,2024-07-12,castrated,北海道,active
1413338964,9205,2024-09-13,castrated,北海道,active
1658839707,9106,2024-07-12,castrated,北海道,active
1638640965,9203,2023-09-15,castrated,北海道,active
1596341867,9207,2025-02-15,castrated,北海道,active
1679342903,9102,2024-09-13,castrated,北海道,active
0871842969,9107,2025-01-17,castrated,北海道,active
1658443690,9103,2025-04-18,castrated,北海道,active
1690944537,9207,2025-02-15,castrated,北海道,active
1396947603,9101,2024-05-18,castrated,北海道,active
1403048767,9105,2024-09-28,castrated,曽於,active
1690551087,9203,2025-03-19,female,北海道,active
1658452227,9204,2024-04-29,female,曽於,active
1661552365,9102,2024-09-13,castrated,北海道,active
1686856257,9103,2025-04-18,castrated,北海道,active
1689059587,9204,2024-04-29,female,曽於,active
1682064588,9201,2025-03-19,female,北海道,active
1428470192,9202,2024-02-03,female,曽於,active
1686672611,9203,2025-03-19,female,北海道,active
1681580447,9205,2024-09-13,castrated,北海道,active
1687483377,9202,2024-02-03,female,曽於,active
0875888161,9103,2025-04-18,castrated,北海道,active
1431391392,9204,2024-04-29,female,曽於,active
1670191630,9201,2025-03-19,female,北海道,active
0872592214,9207,2025-02-15,castrated,北海道,active
0872592559,9201,2025-03-19,female,北海道,active
1388193445,9104,2023-12-02,female,曽於,active
1361594993,9206,2025-01-17,castrated,北海道,active
1388197078,9104,2023-12-02,female,曽於,active
1685997111,9204,2024-04-29,female,曽於,active
1388198167,9202,2024-02-03,female,曽於,active
0875598213,9201,2025-03-19,female,北海道,active
0873831879,0109,2024-08-19,female,自家,active
0873831886,独房７,2024-08-16,castrated,自家,active
0873831893,0109,2024-08-28,female,自家,active
0873831909,0109,2024-09-08,female,自家,active
0873831916,哺乳,2024-09-30,female,自家,active
0873831923,0109,2024-10-02,female,自家,active
0873831930,0109,2024-10-04,female,自家,active
0873831947,育成,2024-11-16,female,自家,active
0873831954,育成,2024-12-04,castrated,自家,active
0873831961,育成,2024-12-17,female,自家,active
0873831978,育成,2024-12-18,castrated,自家,active
0873831985,育成,2024-12-28,castrated,自家,active
0873831992,哺乳,2025-02-11,female,自家,active
0859532004,哺乳,2025-02-12,female,自家,active
0859532011,哺乳,2025-02-19,castrated,自家,active
0859532028,哺乳,2025-02-20,female,自家,active
0859532035,哺乳,2025-03-13,castrated,自家,active
0859532042,哺乳,2025-04-02,female,自家,active
0859532059,哺乳,2025-04-24,female,自家,active
1658701653,0107,2023-04-07,female,関,active
1660405396,0108,2023-09-05,female,飛騨,active
1616709608,0105,2021-04-09,female,関,active
1509819353,0103,2016-04-29,female,曽於,active
1527820751,0108,2024-04-29,female,曽於,active
1567325148,0106,2022-12-02,female,曽於,active
1478725389,0104,2016-11-28,female,曽於,active
0861726316,0103,2015-07-11,female,北海道,active
1395329387,0102,2017-03-30,female,曽於,active
0869631377,0107,2022-07-18,female,自家,active
1391132226,0105,2022-04-29,female,曽於,active
1384834908,0102,2017-06-01,female,曽於,active
1508540760,0104,2019-09-27,female,曽於,active
1420441435,0106,2016-11-28,female,曽於,active
1428141474,0105,2021-04-09,female,関,active
1385542406,0106,2022-10-30,female,曽於,active
1357947536,0103,2016-04-29,female,曽於,active
1363649837,0107,2023-02-03,female,関,active
1379162801,0104,2019-09-27,female,曽於,active
1420974940,0107,2023-03-30,female,曽於,active
1466680423,0105,2021-08-29,female,曽於,active
1508587185,0108,2023-09-05,female,飛騨,active
1384991410,0106,2022-10-30,female,曽於,active
1371791917,0102,2016-12-22,female,曽於,active
1537197751,0102,2017-04-29,female,曽於,active
